,playbackTime,curTime,renderTime,cameraX,cameraY,cameraZ,HPTime,curHP,maxHP,isDead
0,1616313717854,137.94972229003906,1616313717855,8269.9375,1911.8480224609375,6754.87890625,1616313717914,590,590,False
1,1616313717988,138.48194885253906,1616313717988,8347.9833984375,1911.8480224609375,6793.0224609375,1616313718011,590,590,False
2,1616313718077,138.83010864257812,1616313718074,8468.701171875,1911.8480224609375,6833.5126953125,1616313718096,590,590,False
3,1616313718192,139.29879760742188,1616313718192,8663.9677734375,1911.8480224609375,6853.5634765625,1616313718194,590,590,False
4,1616313718265,139.59056091308594,1616313718265,8775.8017578125,1911.8480224609375,6853.72265625,1616313718280,590,590,False
5,1616313718364,139.9636993408203,1616313718371,8818.4267578125,1911.8480224609375,6851.45703125,1616313718378,590,590,False
6,1616313718442,140.28225708007812,1616313718442,8819.2763671875,1911.8480224609375,6851.6376953125,1616313718461,590,590,False
7,1616313718539,140.68173217773438,1616313718524,8822.4521484375,1911.8480224609375,6855.654296875,1616313718551,590,590,False
8,1616313718625,141.01527404785156,1616313718637,8892.2412109375,1911.8480224609375,6906.1640625,1616313718644,590,590,False
9,1616313718737,141.48135375976562,1616313718737,8917.6513671875,1911.8480224609375,6971.1689453125,1616313718731,590,590,False
10,1616313718820,141.81512451171875,1616313718821,8850.4013671875,1911.8480224609375,6968.5419921875,1616313718828,590,590,False
11,1616313718904,142.14859008789062,1616313718904,8734.1943359375,1911.8480224609375,6972.4462890625,1616313718908,590,590,False
12,1616313718987,142.48252868652344,1616313718987,8584.0859375,1911.8480224609375,6993.7919921875,1616313718993,590,590,False
13,1616313719072,142.82179260253906,1616313719072,8511.130859375,1911.8480224609375,7009.5283203125,1616313719078,590,590,False
14,1616313719153,143.1487579345703,1616313719153,8551.9970703125,1911.8480224609375,7010.8974609375,1616313719159,590,590,False
15,1616313719230,143.4479522705078,1616313719230,8638.8349609375,1911.8480224609375,7011.0927734375,1616313719250,590,590,False
16,1616313719324,143.83120727539062,1616313719325,8694.5439453125,1911.8480224609375,7014.3916015625,1616313719343,590,590,False
17,1616313719421,144.2155303955078,1616313719421,8695.5380859375,1911.8480224609375,7046.4072265625,1616313719430,590,590,False
18,1616313719505,144.5496063232422,1616313719505,8690.8984375,1911.8480224609375,7106.4580078125,1616313719513,590,590,False
19,1616313719588,144.88209533691406,1616313719588,8686.6982421875,1911.8480224609375,7204.0556640625,1616313719595,655,655,False
20,1616313719655,145.14756774902344,1616313719670,8690.8134765625,1911.8480224609375,7219.654296875,1616313719679,655,655,False
21,1616313719771,145.61483764648438,1616313719771,8711.3271484375,1911.8480224609375,7166.7158203125,1616313719761,655,655,False
22,1616313719853,145.94805908203125,1616313719854,8709.0615234375,1911.8480224609375,7123.4990234375,1616313719859,655,655,False
23,1616313719937,146.28158569335938,1616313719937,8662.025390625,1911.8480224609375,7093.7802734375,1616313719945,655,655,False
24,1616313720021,146.61453247070312,1616313720020,8626.205078125,1911.8480224609375,7040.884765625,1616313720030,655,655,False
25,1616313720103,146.9494171142578,1616313720089,8617.541015625,1911.8480224609375,6985.3349609375,1616313720112,655,655,False
26,1616313720188,147.2813262939453,1616313720188,8509.740234375,1911.8480224609375,6966.01171875,1616313720196,655,655,False
27,1616313720272,147.6182861328125,1616313720272,8440.1396484375,1911.8480224609375,6970.7080078125,1616313720284,655,655,False
28,1616313720371,148.01487731933594,1616313720371,8447.1494140625,1911.8480224609375,6970.158203125,1616313720375,655,655,False
29,1616313720439,148.28427124023438,1616313720454,8485.4697265625,1911.8480224609375,6961.4775390625,1616313720461,655,655,False
30,1616313720536,148.68209838867188,1616313720537,8595.4462890625,1911.8480224609375,6946.39453125,1616313720541,655,655,False
31,1616313720637,149.0817413330078,1616313720637,8848.8935546875,1911.8480224609375,6970.8203125,1616313720627,655,655,False
32,1616313720720,149.41461181640625,1616313720721,8887.99609375,1911.8480224609375,7015.35546875,1616313720731,655,655,False
33,1616313720803,149.74794006347656,1616313720790,8839.333984375,1911.8480224609375,7025.4208984375,1616313720813,655,655,False
34,1616313720886,150.08169555664062,1616313720872,8739.7177734375,1911.8480224609375,7047.072265625,1616313720893,655,655,False
35,1616313720972,150.41810607910156,1616313720972,8618.671875,1911.8480224609375,7122.64453125,1616313720979,655,655,False
36,1616313721056,150.7566375732422,1616313721056,8542.158203125,1911.8480224609375,7179.1865234375,1616313721063,655,655,False
37,1616313721137,151.08084106445312,1616313721137,8516.3095703125,1911.8480224609375,7282.6064453125,1616313721141,655,655,False
38,1616313721205,151.35031127929688,1616313721220,8438.7275390625,1911.8480224609375,7306.619140625,1616313721227,655,655,False
39,1616313721320,151.8175506591797,1616313721295,8367.06640625,1911.8480224609375,7273.3876953125,1616313721320,655,655,False
40,1616313721405,152.1526336669922,1616313721405,8343.9267578125,1911.8480224609375,7309.41015625,1616313721413,655,655,False
41,1616313721475,152.42889404296875,1616313721475,8394.685546875,1911.8480224609375,7374.7734375,1616313721497,655,655,False
42,1616313721572,152.8157501220703,1616313721572,8519.171875,1911.8480224609375,7431.0546875,1616313721587,655,655,False
43,1616313721672,153.21519470214844,1616313721671,8543.599609375,1911.8480224609375,7395.232421875,1616313721675,655,655,False
44,1616313721754,153.5477294921875,1616313721754,8488.7255859375,1911.8480224609375,7360.7998046875,1616313721761,655,655,False
45,1616313721824,153.81451416015625,1616313721822,8505.20703125,1911.8480224609375,7363.302734375,1616313721843,655,655,False
46,1616313721922,154.22142028808594,1616313721922,8543.30859375,1911.8480224609375,7310.1708984375,1616313721932,655,655,False
