comment,youtube_id,date,like_num
소민언니 tpo에 맞춰서 예능에 알맞게 코디해오는거 너무 좋음.,강하람,3일 전,43
This should be Fashion Critizing 4 - Sukjin Edition 😄 And apparently Sukjin has been stealing from Haha's children - Song's romper and Soul's backpack 😂😂😂,Anck T,3일 전(수정됨),27
진짜 제발 우리 지효언니 헤어 코디 샵 좀 바꿔주세요 우리 언니 얼굴이 되니까 저렇게 자르고 입혀도 예쁘게 잘 소화하는 거지 진짜 막말로 멤버 옷 바꿔입기로 입은 옷이 더 예뻐요;;,미인규,5일 전(수정됨),173
스타일 관련 말 꾸준히 나오는데도 안잘리는 철밥통인거 보면 엄청 친한 사인거 같은데 자기 발로 그만뒀으면 좋겠음 자기 직업 역할을 하나도 못하는데...,_-__-,5일 전,107
지효 언니 얼굴이 잘생겼으니 당연히 숏컷이고 단발이고 장발이고 다 어울리겠지만! 벌칙 가발 같이 잘라놓은 머리를 누가 소화해요.  그나마 지효언니니까 핑킹가위로 똥땅똥땅 잘라놓은 저 머리를 해놨음에도 귀엽다는 반응 나오는 거임. 민낯에 생머리일 때 제일 찰떡 같이 어울리고 예쁨ㅜ 머리하고 옷만 보면 진짜 헤어랑 스타일리스트 누군지 모르겠지만 송지효 안티인가 싶을 정도.,The way you are,5일 전,200
스타일리스트분들 앞으로도 이 패션지적 시리즈를 위해 열일해주시면 감사하겠습니다,4시 19분,5일 전,221
진짜 지효언니 런닝맨에서 코디 그냥 편한옷 입나보다 하고 흐린눈하고 봤는데 이건 너무 도를 넘은거 같다 다른 직업도 아니고 여배우 머리를 이렇게 한건 고소할수도 있는 정도 아닌가 팬들이 들고 일어나야 할듯,R U,5일 전,42
I really love jaesuk's outfit from the last episode 👍💙,Michelle Alicia,4일 전,6
송지효 코디는 ㄹㅇ 개꿀직업이네 대충해도 소화해주니까 ㅋㅋㅋ,dy choi,5일 전,350
지석진님 한 컷이라도 더 만들려는 스타일 리스트의 배려 ❤👍2:24  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 전소민님 죽을 뻔ㅋㅋㅋㅋㅋㅋ,가람바람,5일 전(수정됨),421
"지금 숏컷을 했다고 불만인게 아님. 숏컷을 해도 이상할 사람은 아니지만 사실 지효언니 얼굴형이나 이목구비상 짧은머리보다는 긴머리가 좀 더 본인의 얼굴을 잘 살려줄 수있는 스타일링이라 숏컷을 하려면 좀 더 신경을 썼어야 한다고봄. 그리고 긴머리든 짧은 머리든 두상, 얼굴에 어울릴 스타일링을 해놔야지 이건뭐... 앞머리 부터 저렇게 쥐파먹은 것처럼 해놓고, 저 뭉텅이로 잘라놓은거같은 구레나룻까지... 지효언니라서 저정도로 살린거아닌가요. 뭐 취향이란게 있을 수 있어서 저 머리도 예쁘다고 하실 분 있는거 알지만 솔직히 자기 머리 저렇게 해주세요!하면서 미용실에 가지고 가실분 있으신가요...",Jang Helen,5일 전(수정됨),363
"Although it is weird but Seokjin's stylist understood his/her assignment well 🤣For variety shows, it is important to make Seokjin looks funny lol",Faiz Five,4일 전,70
넘 궁금해서 찾아봤는데 낙하산룩 실제로 다 있는 옷이고 심지어 바지랑 운동화는 꽤 고가..;;웃음을 위한 스타일리스트님의 노력과 석진님의 용기(?)에 경의를 표합니다~!!,js,5일 전,274
석진형님 너무 좋다ㅋㅋㅋㅋ 세상 어디서 60 다되가시는 어르신 팔다리 잡고 억지로 기저귀 채우는 팀이 있음ㅋㅋㅋㅋㅋ,깊은 바다,5일 전,43
아 너무 좋아ㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그리고 지효언니 얼굴이 다함 코디랑 헤어쌤 정말ㅠㅠ지효언니 이쁘게 꾸며주세여..,K,5일 전(수정됨),268
hahaha gotta love sukjin's fashion,Rizky Ramadhan,4일 전,4
13:12 둘이 마주보고 웃는 거 진짜 자매같고 너무너무 귀엽고 좋음..ㅠㅠ,한낮,5일 전,69
송지효 머리 진짜 너무 속상해... 작품 때문에 그런 거면 빨리 찍고 붙임머리나 부분 가발 같은 걸로 원상복귀 시켜놨으면 좋겠음 ㅅㅂ 감자만 먹던 시절이냐고 웰컴투동막골 리메이크 찍는거면 인정해준다 내가,_너는누구니,5일 전(수정됨),202
지석진 코디 일부로 저렇게 입히는 것 같아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 은근히 매기는거 같아웃긴게 지석진도 그걸 은근히 즐기는 것 같고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,코알라,4일 전,41
"전소민, 유재석 스타일리스트분들은 여러 스타일들 이쁘게 잘가져오시네",무쨍이근찬,5일 전,152
송죠 헤메코 그냥 열일하지 말아줘… 실험하지 마.. 도전하지 마 그냥… 백화점에 디피된 옷 그냥 그대로 갖다 입혀 좀 ㅠㅠㅠ 송죠 얼굴로 어떤 스타일까지 커버되나 실험하는 거냐고,미천한 제가 감히 반박하자면,5일 전,45
전소민 스타일리스트가 젤 이쁘게 잘 입히는 듯👍 컨셉이랑 잘 어울리고 이쁨ㅎ💖,JY S,5일 전(수정됨),481
진짜 송지효 헤메코 누구야... 흰 티에 청바지만 입히고 생머리여도 최고인데.. 사람가지고 실험하는 것도 아니고요 그래도 돈 받고 하는거면 최선은 아니어도 최악은 아니어야 되는거 아닌가요? 꾸준히 팬들끼리 불만 터지는데 발전은 없고 이럴거면 다른 업체로 바꿔줘요,미미친놈아니가먼저잘못했잖아,5일 전,198
송지효 헤어스타일리스트랑 스타일리스트는 진심 할말하않... 아니 숏컷을 하는건 좋은데 왜 주방가위 가지고 샤워 도중에 셀프로 자른것마냥 쥐파먹은 듯한 머리로 만드는거며(반대로 긴 머리일 땐 항상 부시시한 오은영 박사님st이라 환장...) 옷은 무슨 키즈카페 인싸 남자 유치원생한테 입히듯이 세상 알록달록하고 펑퍼짐하게 핏이나 색감이 서로 전혀 매치도 안 되게끔 입힘. 스타일리스트가 준비한 옷보다 런닝맨 벌칙의상이 나은 수준이라니,hohohalmoni,5일 전(수정됨),429
외모로 머리스타일을 커버하는 지효님 ㄷㄷ,끼룩,5일 전,255
I love Somin’s outfits tho 😍,BANGTAN WILLBEN,2일 전,0
지효가 숏컷을 하고싶어서 했다면 더이상은 말을 얹지 않겠지만 솔직히 처음에는 지효 머리 보고 무슨일 있나 생각한적은 있음 그래도 송지효 얼굴이 잘생겼으니까 넘어가도 될것 같은데....그치만 코디 좀 제발 잘 해주세요 제발..... 지효 코디 볼때마다 매번 얼굴로 커버치려는건지라는 생각 든적도 있움...도저히 코디를 못하겠다 싶음 소민이 코디담당에게 물어봐줬으면... 다 괜찮은데 코디만 조금만 신경 써주세요ㅜㅜ,ㅇㅇ,5일 전,248
Song Jihyo is now officially the most handsome member of Running Man hehehehehe,Gautami Peddinti,5일 전,59
이 정도면 석삼씨 스타일리스트가 실은 런닝맨 제작진팀이라는게 학계의 정설 ㅋㅋ 이렇게 분량을 뽑아주시다니,빈님,4일 전,34
송죠 숏컷보고 솔직히 회사가 문제인가 하고 봤더니 그건 아님 소속연예인중에 혜리랑 김원희도 있는데 두 분은 헤메코 완벽함 그냥 담당 헤메코가 문제인거임,입술색노랑,5일 전,100
Jihyo is really cute 🤩🤩🤩She’s look so much younger with this short hair.,Harry Potter,5일 전,42
석진이형님은 코디가 자기를 갖고노는걸 이미 느끼고 있으실듯 ㅋ,oo m,4일 전,8
Seokjin always dress up funnily..is that part of his character in RM? Or just his stylist that has unique choices? Haha,Yenny L.,2일 전,0
스타일리스트들 모아서 가림막하고 솔직한 마음 한번 들어보고싶어영 ㅋㅋ,이지금,5일 전,20
"아니 진짜 지효언니 머리,,,,, 내가 자른 것도 아닌데 내가 다 열받음; 예쁜 숏컷도 얼마나 많은데 어떻게 저렇게 잘라놨냐...... 지효언니가 유튜브 보고 직접 잘라도 저것보단 나을 거 같네 진심",김보민,5일 전(수정됨),95
15:51 평소에 비슷한 말 얼마나 많이 했으면 하하 형이 질색하는 표정이 나오냐고ㅋㅋㅋㅋㅋㄱ거기다가 세찬님이 형 가수 아니예요?본업이 트레이너예요?하는게 개웃김ㅋㅋㅋ,룰그레이드,5일 전(수정됨),146
2:24 2:24 오빠들이 뭐라하면 그러든지 말든지 이러는데 언니가 뭐라 할 때마다 숨는거 너무 ㄱㅇㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,경진,5일 전,434
"사람이 잘해주면 고마운 줄 알아야하는데.. 송지효 헤메코 담당자들은.. 송지효가 정때문에 오래 같이 일했다는 이유로 일 계속주니 그냥 다들 일 대충하는 듯. 대충해도 안짤리니깐.. 헤메코 일 다 개못하고, 송지효 피부 컬러톤도 하나도 안맞추고 안어울리는 것만 골라서 입히고 화장하고 머리해줌.. 난 이사단 나기전에 송지효 돈아끼고 일부러 몸 내던지는거 보여주려고 하나도 안꾸미고 화장 안하고 나오는 건줄 암..",jemma yang,5일 전,18
4:46 개인적으로 소민님 스타일이 너무 이쁜거 같아요 ㅋㅋㅋㅋ,김민수,5일 전,76
Jaesuk's outfit never fails,Michelle Alicia,4일 전,3
진심 지효누나 헤메코는 숨만쉬나..? 너무한거 아니냐..,솔솔씨,5일 전,52
"Song ji hyo looks so young with that new hairstyle and of course, she is super cute!!!!",Nattaya Teeraprapa,5일 전,21
"지효언니 보고 두 눈을 의심했다 진짜,,",은댕,5일 전,68
어제 방송보고 너무 속상했음 쥐파먹은 앞머리부터 가발 붙인것같은 구렛나루에 정리도 안되어있는 뒷머리.... 저거 보고 헤어 담당하는 사람은 문제 못느끼나...? 지효 언니도 계속 머리 신경쓰이는것 같던데...숏컷을 하든 삭발을 하든 응원하는데 내가 잘라도 저것보단 잘 자를 것 같은 머리는 너무 속상해ㅜ서로 아끼니까 오랜시간 같이한거겠지만.... 나였음 10년 넘게 함께한 사람 있는거 없는거 다 끌어모아서 최대한 빛나게 해줄려고 노력할텐데.....유재석 소민언니 스타일팀이 하는것까지는 안바라니까 이번 기회에 제발 변화가 있었음 좋겠어요ㅜ,kakao,5일 전(수정됨),45
아 개웃겨 진짜ㅋㅋㅋㅋㅋㅋ 어제 회차 보고 와서 또 클립 보기 개행복해,하하하하하,5일 전,3
"Song Jihyo's new hairstyle awakened the bisexual in me. Fr tho, it really suits her!!!",butterfly,1일 전,0
스타일리스트 선생님 지효 언니를 사랑한다면 부디 떠나줘요 😭 서로를 위해 .. 실력있는 선생님이시겠지만 지효언니 스타일이랑 안맞으시는 듯 🥲🥲🥲,아수쿠림,5일 전,280
"진짜 재석님 말대로 석진이형 지적당할때마다 하는말이 ""너넨 패션을 모르냐"" 이거 원툴이긴하네... 형 애드립 무지하게 약하구나",모당벌레,5일 전,44
지석진형 스타일리스트 ㅋㅋㅋㅋㅋㅋ 너무 웃겨,exo-elfs jaeger,5일 전,95
진짜 확실히 2021 런닝맨은 지석진 활약 엄청난듯 .. 석삼씨한테 대상줘 스브스 ㅠㅠ ..,행복만,3일 전,7
JiSeokJins fashion is something else lmao… New Yorkers definitely don’t walk around wearing diapers 💀 his stylist has a grudge on him for sure LOL,MK4,4일 전,29
Song Ji Hyo is always beautiful 💖,CSNA,5일 전,14
런닝맨패션지적 X지석진패션지적 O코디분이 진짜 열일하시네 ㅎㅎㅎ,Sid Huh,2일 전,1
지석진 송지효 코디는 진짜 꿀알바 ..,오빠,5일 전,18
"그냥 유재석 착장 매번 너무 예뻐,,,,,",janu S_,3일 전,5
4:32 양세찬 머리에 쓴 거 말하기 전까진 진짜 흰머리 가발인 줄 알았네ㅋㅋㅋㅋㅋㅋ,동동,5일 전(수정됨),129
Sukjin hyungwill always be in the spotlight,once in a millionce,1일 전,0
我倒覺得智孝，是因那頭漂白+染髮的紅髮剪掉，要重新再生長，髮質才會好。別想太多，不管智孝的髮型服裝造型如何，她都是最美最帥的 👍,佩玲,4일 전,7
